timestamp,predicted,bullish_probability,bearish_probability,confidence,score,regime,data_coverage,intelligence_coverage,entry_nq,entry_bar_end,entry_staleness_min,nq_4h,nq_8h,move_4h_pct,move_8h_pct,actual_4h,actual_8h,correct_4h,correct_8h,outcome_4h_bar_end,outcome_8h_bar_end,outcome_4h_staleness_min,outcome_8h_staleness_min,news,news_articles,news_kept,news_directional,news_evidence,news_polygon_articles,news_finnhub_articles,liquidity_signal,liquidity_direction,liquidity_conflict,liquidity_resolution,liquidity_contract,liquidity_evidence,earnings,earnings_evidence,earnings_released_events,earnings_released_symbols,earnings_upcoming_events,earnings_upcoming_symbols,earnings_upcoming_within_4h,earnings_upcoming_within_8h,earnings_upcoming_mega_weight,earnings_upcoming_semi_count,earnings_hours_to_next,earnings_catalyst_risk,earnings_future_eps_used,market_available,market_requested
2025-09-02T17:00:00+00:00,BEARISH,24.6,75.4,64.6,-0.582,TREND,0.964,0.467,23126.25,2025-09-02 13:00:00-04:00,0.0,23379.5,23331.25,1.0950759418409817,0.8864385708880601,BULLISH,BULLISH,False,False,2025-09-02 17:00:00-04:00,2025-09-02 21:00:00-04:00,0.0,0.0,0.6,227,23,1,available,227,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-03T17:00:00+00:00,BULLISH,53.8,46.2,48.8,0.078,BALANCED,0.964,0.467,23410.75,2025-09-03 13:00:00-04:00,0.0,23455.75,23502.5,0.1922193863930032,0.3919139711457343,BULLISH,BULLISH,True,True,2025-09-03 17:00:00-04:00,2025-09-03 21:00:00-04:00,0.0,0.0,0.6450763057568109,453,52,4,available,453,0,-1.0,BEARISH,LOW,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-04T17:00:00+00:00,BULLISH,58.7,41.3,61.0,0.178,TRANSITION,0.964,0.467,23538.25,2025-09-04 13:00:00-04:00,0.0,23684.0,23729.25,0.6192049111552472,0.8114452008964133,BULLISH,BULLISH,True,True,2025-09-04 17:00:00-04:00,2025-09-04 21:00:00-04:00,0.0,0.0,0.6177245214883118,639,84,9,available,639,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-05T17:00:00+00:00,BULLISH,50.4,49.6,44.8,0.008,BALANCED,0.964,0.467,23654.5,2025-09-05 13:00:00-04:00,0.0,23673.75,,0.08137986429643408,,BULLISH,,True,,2025-09-05 17:00:00-04:00,2025-09-05 17:00:00-04:00,0.0,240.0,0.6117742580758679,687,100,11,available,687,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-08T17:00:00+00:00,BULLISH,63.6,36.4,67.2,0.283,TRANSITION,0.964,0.467,23811.75,2025-09-08 13:00:00-04:00,0.0,23798.5,23807.75,-0.05564479721146073,-0.01679842934685607,BEARISH,NEUTRAL,False,False,2025-09-08 17:00:00-04:00,2025-09-08 21:00:00-04:00,0.0,0.0,0.6,378,68,5,available,378,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-09T17:00:00+00:00,BULLISH,65.8,34.2,61.3,0.332,TRANSITION,0.964,0.467,23821.5,2025-09-09 13:00:00-04:00,0.0,23889.75,23886.0,0.2865058875385681,0.2707638058056797,BULLISH,BULLISH,True,True,2025-09-09 17:00:00-04:00,2025-09-09 21:00:00-04:00,0.0,0.0,0.6,463,79,11,available,463,0,1.0,BULLISH,LOW,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-10T17:00:00+00:00,BULLISH,60.6,39.4,64.2,0.218,TRANSITION,0.964,0.467,23924.5,2025-09-10 13:00:00-04:00,0.0,23858.0,23904.5,-0.277957742063575,-0.08359631340257895,BEARISH,BEARISH,False,False,2025-09-10 17:00:00-04:00,2025-09-10 21:00:00-04:00,0.0,0.0,0.6055532968955272,601,111,21,available,601,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-11T17:00:00+00:00,BULLISH,60.1,39.9,64.8,0.207,TRANSITION,0.964,0.467,24008.5,2025-09-11 13:00:00-04:00,0.0,24006.75,24009.5,-0.007289085115688194,0.0041651914946789674,NEUTRAL,NEUTRAL,False,False,2025-09-11 17:00:00-04:00,2025-09-11 21:00:00-04:00,0.0,0.0,0.589578064726062,670,126,26,available,670,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-12T17:00:00+00:00,BULLISH,62.7,37.3,64.3,0.264,TRANSITION,0.964,0.467,24110.75,2025-09-12 13:00:00-04:00,0.0,24115.25,,0.018663873998112875,,NEUTRAL,,False,,2025-09-12 17:00:00-04:00,2025-09-12 17:00:00-04:00,0.0,240.0,0.5885028960372588,697,130,23,available,697,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-15T17:00:00+00:00,BULLISH,65.1,34.9,67.9,0.318,TRANSITION,0.964,0.467,24266.0,2025-09-15 13:00:00-04:00,0.0,24296.5,24302.75,0.12569026621610482,0.15144646830956895,BULLISH,BULLISH,True,True,2025-09-15 17:00:00-04:00,2025-09-15 21:00:00-04:00,0.0,0.0,0.39772537223642657,317,70,5,available,317,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQU5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
