timestamp,predicted,bullish_probability,bearish_probability,confidence,score,regime,data_coverage,intelligence_coverage,phase24_grade,phase24_eligible,phase24_agreement,phase24_conflict,phase25_grade,phase25_eligible,confluence_score,confluence_completeness,confluence_alignment,chart_direction,nq_contract,es_contract,chart_data_status,outcome_provider,outcome_contract,entry_bar_end,entry_nq,entry_staleness_min,nq_4h,outcome_4h_bar_end,outcome_4h_staleness_min,nq_8h,outcome_8h_bar_end,outcome_8h_staleness_min,actual_4h,actual_8h,correct_4h,correct_8h,move_4h_pct,move_8h_pct,market_available,market_requested,dxy_source,us10y_source,news_articles,news_directional,news_evidence,macro_source_status,macro_high_impact,macro_event_risk,earnings_evidence,earnings_catalyst_risk,earnings_future_eps_used,liquidity_contract,liquidity_evidence,signals_json,chart_json
2025-09-01T17:00:00+00:00,BEARISH,26.1,73.9,69.9,-0.538,TREND,0.85,0.637,A+,True,1.0,0.0,WATCH,False,25.0,0.25,1.0,UNKNOWN,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-01T17:00:00+00:00,23502.25,0.0,,,240.0,23473.75,2025-09-02T01:00:00+00:00,0.0,,BEARISH,,True,,-0.12126498526736802,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,67,0,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":-0.5857183426470285,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":-0.29821496197601677,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":0.07971276583883848,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":-0.5204770927538198,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":-0.8535880101730865,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":-0.5997418189552678,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.0,""weight"":0.07,""freshness"":""missing""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""UNKNOWN"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":null,""htf_poi_direction"":null,""order_block"":null,""order_block_direction"":null,""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":{""direction"":""BEARISH"",""events"":[{""level"":""LONDON_PREFIX_HIGH"",""price"":23504.0,""direction"":""BEARISH"",""event"":""BUY-SIDE HIGH SWEEP REJECT"",""event_time"":""2025-09-01T16:50:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BEARISH"",""smt"":null,""smt_direction"":null,""session_context"":{""direction"":""BEARISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BEARISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-02T17:00:00+00:00,BEARISH,22.1,77.9,69.8,-0.66,TREND,0.92,0.69,A+,True,0.855,0.145,WATCH,False,0.0,0.1,0.0,NEUTRAL,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-02T17:00:00+00:00,23126.25,0.0,23379.75,2025-09-02T21:00:00+00:00,0.0,23331.5,2025-09-03T01:00:00+00:00,0.0,BULLISH,BULLISH,False,False,1.096156964488406,0.8875195935354846,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,227,1,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":-0.8556758436118994,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":-0.7271434460094501,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":-0.305018826524608,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":-0.8023627113792302,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":-0.9162504299869381,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":-0.8321866512350928,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""NEUTRAL"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":null,""htf_poi_direction"":null,""order_block"":null,""order_block_direction"":null,""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":null,""liquidity_direction"":null,""smt"":{""direction"":""BULLISH"",""event"":""NQ/ES sell-side SMT divergence"",""source"":""Massive NQ+ES 5m""},""smt_direction"":""BULLISH"",""session_context"":null,""session_direction"":null,""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-03T17:00:00+00:00,BULLISH,64.6,35.4,65.6,0.306,TRANSITION,0.92,0.69,NO_TRADE,False,0.787,0.213,NO_TRADE,False,35.0,0.6,0.583,NEUTRAL,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-03T17:00:00+00:00,23410.75,0.0,23455.75,2025-09-03T21:00:00+00:00,0.0,23502.5,2025-09-04T01:00:00+00:00,0.0,BULLISH,BULLISH,True,True,0.1922193863930032,0.3919139711457343,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,453,4,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.34120511735379955,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.1639760381280748,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":0.2284202113973251,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.4496572846603805,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":-0.18440772749744452,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.20053541019137291,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6450763057568109,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""NEUTRAL"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":{""direction"":""BULLISH"",""source"":""4H deterministic POI from OB/FVG""},""htf_poi_direction"":""BULLISH"",""order_block"":null,""order_block_direction"":null,""fvg"":{""direction"":""BULLISH"",""zone_low"":23340.75,""zone_high"":23370.25,""source"":""deterministic_4h_ohlc""},""fvg_direction"":""BULLISH"",""liquidity_sweep"":{""direction"":""BEARISH"",""events"":[{""level"":""ASIA_HIGH"",""price"":23431.25,""direction"":""BEARISH"",""event"":""BUY-SIDE HIGH SWEEP REJECT"",""event_time"":""2025-09-03T16:35:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BEARISH"",""smt"":{""direction"":""BULLISH"",""event"":""NQ/ES sell-side SMT divergence"",""source"":""Massive NQ+ES 5m""},""smt_direction"":""BULLISH"",""session_context"":{""direction"":""BEARISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BEARISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-04T17:00:00+00:00,BULLISH,60.1,39.9,66.3,0.208,TRANSITION,0.92,0.69,NO_TRADE,False,1.0,0.0,NO_TRADE,False,20.0,0.45,0.444,BULLISH,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-04T17:00:00+00:00,23538.25,0.0,23683.5,2025-09-04T21:00:00+00:00,0.0,23729.75,2025-09-05T01:00:00+00:00,0.0,BULLISH,BULLISH,True,True,0.6170807090586599,0.8135694029930007,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,639,9,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.14937278315348704,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.17944794497087732,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":-0.07634753397465262,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.14538337725111508,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":0.19353827925218225,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.17878759312353526,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6177245214883118,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""BULLISH"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":null,""htf_poi_direction"":null,""order_block"":null,""order_block_direction"":null,""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":{""direction"":""BEARISH"",""events"":[{""level"":""LONDON_PREFIX_HIGH"",""price"":23556.0,""direction"":""BEARISH"",""event"":""BUY-SIDE HIGH SWEEP REJECT"",""event_time"":""2025-09-04T16:55:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BEARISH"",""smt"":null,""smt_direction"":null,""session_context"":{""direction"":""BEARISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BEARISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-05T17:00:00+00:00,BULLISH,50.5,49.5,48.1,0.011,BALANCED,0.92,0.69,NO_TRADE,False,0.11,0.89,NO_TRADE,False,0.0,0.5,0.0,BEARISH,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-05T17:00:00+00:00,23654.5,0.0,23673.25,2025-09-05T21:00:00+00:00,0.0,,,240.0,BULLISH,,True,,0.0792661015874358,,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,687,11,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":-0.08170239765051894,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":-0.2515458402723884,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":0.2685626248383667,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":-0.20774324059654709,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":-0.18555013227334596,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":-0.08719256252547723,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6117742580758679,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""BEARISH"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":{""direction"":""BEARISH"",""source"":""4H deterministic POI from OB/FVG""},""htf_poi_direction"":""BEARISH"",""order_block"":{""direction"":""BEARISH"",""zone_low"":23748.5,""zone_high"":23800.0,""source"":""deterministic_4h_displacement""},""order_block_direction"":""BEARISH"",""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":null,""liquidity_direction"":null,""smt"":null,""smt_direction"":null,""session_context"":null,""session_direction"":null,""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-08T17:00:00+00:00,BULLISH,65.5,34.5,73.5,0.328,TRANSITION,0.92,0.69,NO_TRADE,False,0.918,0.082,NO_TRADE,False,20.0,0.2,1.0,BULLISH,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-08T17:00:00+00:00,23811.75,0.0,23798.5,2025-09-08T21:00:00+00:00,0.0,23807.25,2025-09-09T01:00:00+00:00,0.0,BEARISH,NEUTRAL,False,False,-0.05564479721146073,-0.018898233015213078,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,378,5,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.300328174012331,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.10893005805705216,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":0.13334777122122002,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.41386078178401237,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":0.2508146438590365,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.1947062983706101,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""BULLISH"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":null,""htf_poi_direction"":null,""order_block"":null,""order_block_direction"":null,""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":null,""liquidity_direction"":null,""smt"":null,""smt_direction"":null,""session_context"":null,""session_direction"":null,""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-09T17:00:00+00:00,BULLISH,58.4,41.6,59.8,0.171,TRANSITION,0.92,0.69,NO_TRADE,False,1.0,0.0,NO_TRADE,False,50.0,0.5,1.0,NEUTRAL,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-09T17:00:00+00:00,23821.5,0.0,23889.75,2025-09-09T21:00:00+00:00,0.0,23886.0,2025-09-10T01:00:00+00:00,0.0,BULLISH,BULLISH,True,True,0.2865058875385681,0.2707638058056797,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,463,11,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.037143902278795535,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.004623733024244071,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":-0.13394587959999946,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.10116682863605324,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":0.274474148172183,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.29896454942190365,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""NEUTRAL"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":{""direction"":""BULLISH"",""source"":""4H deterministic POI from OB/FVG""},""htf_poi_direction"":""BULLISH"",""order_block"":null,""order_block_direction"":null,""fvg"":{""direction"":""BULLISH"",""zone_low"":23696.25,""zone_high"":23735.75,""source"":""deterministic_4h_ohlc""},""fvg_direction"":""BULLISH"",""liquidity_sweep"":{""direction"":""BULLISH"",""events"":[{""level"":""ASIA_LOW"",""price"":23790.75,""direction"":""BULLISH"",""event"":""SELL-SIDE LOW SWEEP RECLAIM"",""event_time"":""2025-09-09T16:00:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BULLISH"",""smt"":null,""smt_direction"":null,""session_context"":{""direction"":""BULLISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BULLISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-10T17:00:00+00:00,BULLISH,62.2,37.8,70.1,0.254,TRANSITION,0.92,0.69,NO_TRADE,False,1.0,0.0,NO_TRADE,False,0.0,0.25,0.0,NEUTRAL,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-10T17:00:00+00:00,23924.5,0.0,23858.0,2025-09-10T21:00:00+00:00,0.0,23904.5,2025-09-11T01:00:00+00:00,0.0,BEARISH,BEARISH,False,False,-0.277957742063575,-0.08359631340257895,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,601,21,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.10853358737048416,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.17798948328004457,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":-0.004092972674159499,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.05645170109496671,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":0.6196510427249314,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.18181827383325772,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.6055532968955272,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""NEUTRAL"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":null,""htf_poi_direction"":null,""order_block"":null,""order_block_direction"":null,""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":{""direction"":""BEARISH"",""events"":[{""level"":""ASIA_HIGH"",""price"":23954.0,""direction"":""BEARISH"",""event"":""BUY-SIDE HIGH SWEEP REJECT"",""event_time"":""2025-09-10T15:55:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BEARISH"",""smt"":null,""smt_direction"":null,""session_context"":{""direction"":""BEARISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BEARISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-11T17:00:00+00:00,BULLISH,61.7,38.3,70.9,0.241,TRANSITION,0.92,0.69,NO_TRADE,False,0.846,0.154,NO_TRADE,False,20.0,0.85,0.235,BULLISH,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-11T17:00:00+00:00,24008.5,0.0,24006.5,2025-09-11T21:00:00+00:00,0.0,24009.5,2025-09-12T01:00:00+00:00,0.0,NEUTRAL,NEUTRAL,False,False,-0.008330382989357935,0.0041651914946789674,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,670,26,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.3151345847764849,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.39288590531172685,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":0.1691405461448236,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.07254045512320277,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":-0.03936046321230834,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.05215482281596324,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.589578064726062,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""BULLISH"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":{""direction"":""BEARISH"",""source"":""4H deterministic POI from OB/FVG""},""htf_poi_direction"":""BEARISH"",""order_block"":{""direction"":""BEARISH"",""zone_low"":23900.25,""zone_high"":24044.25,""source"":""deterministic_4h_displacement""},""order_block_direction"":""BEARISH"",""fvg"":null,""fvg_direction"":null,""liquidity_sweep"":{""direction"":""BEARISH"",""events"":[{""level"":""PREV_NY_HIGH"",""price"":24015.0,""direction"":""BEARISH"",""event"":""BUY-SIDE HIGH SWEEP REJECT"",""event_time"":""2025-09-11T16:55:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BEARISH"",""smt"":{""direction"":""BEARISH"",""event"":""NQ/ES buy-side SMT divergence"",""source"":""Massive NQ+ES 5m""},""smt_direction"":""BEARISH"",""session_context"":{""direction"":""BEARISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BEARISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
2025-09-12T17:00:00+00:00,BULLISH,64.6,35.4,70.1,0.306,TRANSITION,0.92,0.69,NO_TRADE,False,1.0,0.0,NO_TRADE,False,45.0,0.8,0.562,BULLISH,NQU5,ESU5,REAL_NQ_ES,Massive Futures,NQU5,2025-09-12T17:00:00+00:00,24110.75,0.0,24115.25,2025-09-12T21:00:00+00:00,0.0,,,240.0,NEUTRAL,,False,,0.018663873998112875,,20,20,Yahoo Finance DX-Y.NYB historical 1H,Yahoo Finance ^TNX historical 1H,697,23,available,unavailable_plan,False,False,missing,False,False,NQU5,available,"[{""name"":""NQ structure"",""score"":0.21229597736401262,""weight"":0.2,""freshness"":""live""},{""name"":""SPX confirmation"",""score"":0.03497322942225023,""weight"":0.1,""freshness"":""live""},{""name"":""DXY"",""score"":-0.010755806162322891,""weight"":0.08,""freshness"":""live""},{""name"":""US10Y"",""score"":0.0,""weight"":0.07,""freshness"":""live""},{""name"":""Mega-cap leadership"",""score"":0.35012828115752276,""weight"":0.2,""freshness"":""live""},{""name"":""Semiconductors"",""score"":0.410246166692328,""weight"":0.12,""freshness"":""live""},{""name"":""Breadth"",""score"":0.3332769385821082,""weight"":0.08,""freshness"":""live""},{""name"":""News"",""score"":0.5885028960372588,""weight"":0.07,""freshness"":""live""},{""name"":""Macro calendar"",""score"":0.0,""weight"":0.04,""freshness"":""missing""},{""name"":""Earnings/guidance"",""score"":0.0,""weight"":0.04,""freshness"":""missing""}]","{""direction"":""BULLISH"",""timeframe"":""4H+1H+5M"",""forecast_direction_used_for_detection"":false,""htf_poi"":{""direction"":""BULLISH"",""source"":""4H deterministic POI from OB/FVG""},""htf_poi_direction"":""BULLISH"",""order_block"":null,""order_block_direction"":null,""fvg"":{""direction"":""BULLISH"",""zone_low"":23956.0,""zone_high"":23994.0,""source"":""deterministic_4h_ohlc""},""fvg_direction"":""BULLISH"",""liquidity_sweep"":{""direction"":""BEARISH"",""events"":[{""level"":""LONDON_PREFIX_HIGH"",""price"":24115.5,""direction"":""BEARISH"",""event"":""BUY-SIDE HIGH SWEEP REJECT"",""event_time"":""2025-09-12T16:55:00+00:00""}],""source"":""NQ_5m_completed_bars_independent_detection""},""liquidity_direction"":""BEARISH"",""smt"":{""direction"":""BEARISH"",""event"":""NQ/ES buy-side SMT divergence"",""source"":""Massive NQ+ES 5m""},""smt_direction"":""BEARISH"",""session_context"":{""direction"":""BEARISH"",""session"":""NEW_YORK"",""source"":""UTC session windows + completed NQ bars""},""session_direction"":""BEARISH"",""execution_confirmation"":null,""execution_direction"":null,""nq_contract"":""NQU5"",""es_contract"":""ESU5"",""data_status"":""REAL_NQ_ES""}"
