group,label,mean_add_accuracy_pp,mean_remove_accuracy_pp,mean_add_brier_delta,mean_remove_brier_delta
CROSS_ASSET,SUSPECT_HARMFUL_ON_DEVELOPMENT,2.75,1.32,0.0018,-0.0008
RATES_REAL_YIELD,SUSPECT_HARMFUL_ON_DEVELOPMENT,-0.37,1.32,-0.0004,0.0009
VOLATILITY,HELPFUL_ON_DEVELOPMENT,3.41,0.66,0.0019,-0.0012
NEWS_NOVELTY,HELPFUL_ON_DEVELOPMENT,1.85,0.0,0.0,-0.0004
EARNINGS,MIXED_OR_SMALL_EFFECT,0.66,0.0,-0.0008,0.0001
FUTURES_BASIS_PROXY,HELPFUL_ON_DEVELOPMENT,1.98,0.0,0.0006,0.0001
ORDERFLOW_LICENSED,MIXED_OR_SMALL_EFFECT,0.0,0.0,0.0,0.0
OPTIONS_LICENSED,MIXED_OR_SMALL_EFFECT,0.0,0.0,0.0,0.0
ETF_FLOW_LICENSED,MIXED_OR_SMALL_EFFECT,0.0,0.0,0.0,0.0
LEADERSHIP_SEMIS,HELPFUL_ON_DEVELOPMENT,2.75,-0.66,-0.0004,0.0005
